Entry,pstr_c3,pstr_c5,pstr_c7,pstr_c8,pstr_d3,pstr_d5,pstr_d7
Q9GV41,756,658,1305,710,739,195,127
Q9GYI4,18,30,37,30,25,11,0
Q9GYZ0,157,76,108,111,164,29,25
Q9GZE9,28,39,65,55,48,1,0
Q9GZM7,15,24,38,4,44,3,0
Q9GZP4,195,230,373,161,175,47,22
Q9GZT4,75,39,57,42,83,7,5
Q9GZT9,8,5,5,4,5,4,0
Q9H0A0,101,68,62,104,129,31,18
Q9H0C1,69,31,108,38,117,22,5
Q9H0R3,45,77,181,58,87,11,8
Q9H1A4,30,35,59,11,34,16,0
Q9H1D9,69,37,56,20,71,11,21
Q9H1I8,23,18,102,15,48,3,0
Q9H223,46,15,75,18,38,0,1
Q9H252,142,80,265,77,137,32,0
Q9H270,28,10,78,27,28,8,8
Q9H2K2,439,231,762,402,482,65,45
Q9H330,4,16,21,30,18,0,0
Q9H361,71,62,129,86,43,10,0
Q9H3H3,14,37,63,21,32,11,15
Q9H3M0,83,41,195,32,74,22,18
Q9H3S3,33,13,45,2,14,1,0
Q9H490,28,41,38,29,40,4,4
Q9H4G4,51,43,164,13,53,1,0
Q9H4K1,468,173,574,231,286,40,41
Q9H5I5,34,38,69,135,110,4,13
Q9H5Z1,25,13,38,28,39,12,0
Q9H6R3,49,20,173,45,65,1,8
Q9H6Y7,25,14,64,23,56,12,4
Q9H6Z9,101,54,146,37,94,26,13
Q9H773,102,79,103,82,127,20,41
Q9H7B2,32,5,59,23,73,3,6
Q9H7B4,305,133,211,130,230,37,7
Q9H832,21,0,50,58,24,0,0
Q9H867,36,17,27,19,17,6,0
Q9H8H3,83,34,122,44,99,18,8
Q9H8X9,19,0,29,0,4,2,0
Q9H8Y8,48,72,47,51,34,19,13
Q9H992,4,0,22,10,7,0,0
Q9H9B1,566,411,759,534,588,113,77
Q9H9E1,50,36,88,49,43,8,0
Q9H9V4,33,22,61,46,61,9,12
Q9H9Y6,19,11,56,6,40,6,0
Q9HAS3,9,31,68,7,17,3,0
Q9HAU5,287,239,201,280,198,60,38
Q9HC77,184,130,203,110,132,28,34
Q9HCB6,174,88,332,115,87,40,0
Q9HCD6,30,187,28,41,63,38,3
Q9HCE9,70,26,78,18,104,0,0
Q9HCF6,88,88,159,35,74,3,11
Q9HCR9,68,30,97,69,50,6,5
Q9HDU9,32,15,70,24,23,2,0
Q9HDW9,4,0,7,0,0,0,0
Q9HDZ8,88,131,127,81,130,23,27
Q9HEH1,96,55,141,81,104,26,21
Q9HFE4,0,0,9,0,3,0,0
Q9HFE7,8,52,57,43,15,6,0
Q9HFQ2,6,0,4,14,2,0,0
Q9HFQ4,0,0,0,0,0,0,0
Q9HFV1,15,2,120,29,59,0,2
Q9HG01,55,54,60,33,70,8,4
Q9HGI7,141,84,223,69,84,24,0
Q9HGM9,238,187,338,157,318,51,62
Q9HGN1,36,29,35,44,15,12,5
Q9HGN7,0,5,0,0,0,0,0
Q9HGQ2,0,0,4,0,0,0,0
Q9HI69,55,20,33,14,12,6,13
Q9HJ83,80,39,67,29,32,4,0
Q9HL75,0,14,4,18,6,10,0
Q9HU55,139,34,94,40,117,18,24
Q9HWG9,36,26,44,30,36,1,6
Q9HX48,14,1,3,0,3,6,0
Q9HZ00,100,22,201,114,78,3,0
Q9HZ71,9,23,22,0,28,1,0
Q9I2Q2,52,39,63,18,4,0,0
Q9I2V5,465,374,1502,556,503,76,45
Q9I2Y2,76,86,130,92,89,28,10
Q9I3S3,41,43,26,21,50,9,18
Q9I4C8,637,395,1971,758,802,99,70
Q9I4N4,0,0,0,0,0,0,0
Q9I4V0,269,168,548,207,308,45,37
Q9I526,156,97,182,123,137,32,7
Q9I6J2,0,20,43,4,3,0,0
Q9I7T7,17,33,91,45,60,8,11
Q9I830,66,30,112,19,52,0,0
Q9I931,27,15,17,50,16,0,0
Q9I9B9,21,41,127,26,45,3,1
Q9I9H8,0,2,17,0,5,0,0
Q9IBD1,69,38,108,46,59,20,0
Q9J4Z4,34,10,37,11,17,7,0
Q9J4Z5,378,340,334,298,294,110,59
Q9J5I9,113,62,211,45,140,8,15
Q9JHB4,38,34,33,44,83,9,0
Q9JHP7,12,19,14,10,26,2,4
Q9JHW0,386,418,972,484,410,101,98
Q9JHW2,10,4,13,9,12,2,7
Q9JHW4,22,21,31,0,22,3,3
Q9JI39,11,11,6,18,12,10,0
Q9JI74,13,18,62,35,33,8,0
Q9JI78,104,107,216,86,157,22,31
Q9JI90,123,43,129,78,101,2,15
Q9JII5,83,62,224,55,65,11,0
Q9JIM3,0,0,1,0,0,0,4
Q9JIM4,27,37,63,32,32,11,0
Q9JIS4,25,25,42,14,21,6,0
Q9JJ00,49,48,106,43,79,31,13
Q9JJ09,4,0,10,0,3,0,0
Q9JJ59,221,109,174,119,160,44,6
Q9JJC8,0,0,19,0,1,0,0
Q9JJF3,10,3,10,0,3,2,1
Q9JJK4,13,32,54,6,24,0,0
Q9JJL4,83,61,152,147,188,11,9
Q9JJT0,15,28,39,17,44,2,2
Q9JJZ8,10,6,22,0,15,7,0
Q9JK97,0,14,27,24,23,0,2
Q9JKA7,113,101,375,140,215,29,8
Q9JKA8,99,77,360,103,177,15,12
Q9JKB0,33,25,68,46,39,0,0
