Entry,oann_c1,oann_c2,oann_c3,oann_c6,oann_c7,oann_c8,oann_d1,oann_d3,oann_d6,oann_d7,oann_d8
Q8N4V1,180,264,104,316,213,141,230,134,106,204,107
Q8N4W9,218,150,88,338,367,198,195,44,24,333,240
Q8N531,62,154,35,89,73,28,63,20,23,38,62
Q8N584,0,4,2,5,2,2,3,5,3,14,4
Q8N5C6,265,181,80,320,184,113,253,99,68,73,101
Q8N5G2,346,358,258,632,424,289,486,316,218,481,313
Q8N5I4,61,74,38,71,48,50,88,60,19,26,56
Q8N5M1,121,101,55,220,114,79,87,53,54,79,84
Q8N5R6,245,325,254,284,343,156,340,313,85,241,203
Q8N5T2,125,361,123,285,516,178,152,142,38,169,294
Q8N5Y2,162,164,174,217,200,59,128,118,15,52,166
Q8N653,13,24,16,86,44,21,34,9,42,40,31
Q8N695,641,373,192,1346,788,540,973,192,782,537,737
Q8N697,7,13,7,55,31,13,9,7,8,36,27
Q8N6F8,932,1076,432,986,1215,732,1103,582,450,931,682
Q8N6G6,8,2,22,6,154,79,139,80,82,26,98
Q8N6S4,339,466,153,629,392,164,296,194,175,202,197
Q8N6T3,104,197,23,132,137,38,182,49,172,61,60
Q8N6T7,120,208,141,323,211,62,153,192,75,188,137
Q8N6V9,203,397,353,331,270,235,227,297,66,102,306
Q8N7A1,64,45,19,97,103,50,44,28,9,60,46
Q8N7B6,7,1,0,7,7,5,10,0,1,0,0
Q8N7M0,1,0,2,5,0,1,0,0,0,4,3
Q8N7U6,500,591,336,690,849,396,492,374,229,792,335
Q8N7X0,492,539,436,727,733,385,694,606,208,363,544
Q8N801,284,504,203,253,279,203,454,360,157,284,200
Q8N806,17,10,1,38,32,0,8,2,7,5,8
Q8N865,734,2718,900,1233,1959,931,1765,2864,535,859,1840
Q8N8A2,1,2,0,9,7,0,0,0,0,0,0
Q8N8E3,294,261,232,795,410,222,284,147,181,127,304
Q8N8K9,14,23,11,61,17,14,21,20,4,6,11
Q8N8Q3,4,2,0,8,0,1,2,0,0,0,1
Q8N8S7,148,406,227,579,172,212,283,425,629,298,180
Q8N8U2,36,27,26,75,55,25,63,21,13,79,22
Q8N8V2,830,1429,502,1091,990,510,695,458,121,477,613
Q8N8Z6,0,0,0,4,0,0,0,0,0,0,0
Q8N945,215,220,165,241,263,210,540,600,234,242,185
Q8N957,295,298,248,534,477,317,508,354,232,411,306
Q8N960,4,3,0,5,4,0,2,0,0,3,1
Q8N961,6,3,0,10,55,36,141,74,168,23,37
Q8N972,43,62,66,67,54,49,54,33,16,31,43
Q8N983,33,24,15,90,44,26,22,25,21,49,32
Q8N9F7,1,4,0,11,8,0,6,7,1,5,3
Q8N9H8,42,15,14,36,56,12,36,9,0,22,45
Q8N9I5,10,7,3,11,0,3,4,1,0,7,5
Q8N9L9,81,22,15,45,58,34,53,43,24,7,21
Q8N9N5,180,253,182,331,220,119,241,199,135,172,179
Q8N9Q2,1,1,2,4,1,0,2,5,1,0,3
Q8N9R8,128,205,134,196,188,67,104,88,12,96,109
Q8N9V6,0,1,0,3,0,0,0,0,0,0,1
Q8N9Y4,22,88,38,29,67,44,17,28,22,57,47
Q8NA19,0,2,0,0,0,0,0,0,0,0,0
Q8NA23,142,225,113,283,224,103,178,206,86,182,119
Q8NA54,144,308,88,253,300,126,350,226,97,144,158
Q8NA58,61,45,51,84,63,21,37,41,12,16,63
Q8NA66,9,11,9,19,13,11,17,0,4,27,6
Q8NAG6,33,45,8,39,41,17,34,12,1,13,23
Q8NB14,288,313,238,473,408,145,338,313,131,239,235
Q8NB25,230,303,188,352,320,178,399,316,118,227,236
Q8NB59,149,136,48,349,184,103,150,106,58,526,107
Q8NB66,34,12,6,51,21,14,4,9,3,3,9
Q8NB78,6,1,4,8,8,4,0,0,0,0,1
Q8NB90,58,55,43,76,108,10,60,28,6,14,35
Q8NBA8,27,28,21,81,62,22,26,22,14,20,24
Q8NBE8,191,190,90,312,261,105,141,119,52,63,131
Q8NBF2,55,37,37,126,64,36,64,13,48,51,55
Q8NBH2,17,65,0,28,44,33,19,47,0,31,22
Q8NBJ9,10,6,5,31,5,7,14,8,4,9,7
Q8NBN7,793,1519,764,1553,1047,784,855,702,1042,1622,610
Q8NBP0,348,341,277,501,376,163,339,206,109,90,310
Q8NBS9,206,421,111,307,259,201,209,160,57,168,187
Q8NBT0,5,6,2,5,7,2,4,0,0,4,1
Q8NBV4,7,7,0,30,0,11,9,3,4,10,11
Q8NBX0,176,241,88,230,190,103,90,22,50,90,85
Q8NBZ7,352,334,254,744,615,211,343,319,130,238,443
Q8NCA5,21,65,26,85,50,38,53,39,46,14,44
Q8NCC3,208,387,146,376,566,333,753,256,272,725,314
Q8NCE0,113,105,10,266,134,166,57,24,17,53,118
Q8NCE2,6,5,9,16,8,10,6,5,34,45,7
Q8NCF5,83,72,64,64,93,58,95,48,38,75,84
Q8NCG5,90,125,83,132,60,29,69,92,16,141,78
Q8NCH0,29,38,32,78,65,44,45,35,11,19,59
Q8NCI6,391,673,259,810,901,342,344,214,97,297,490
Q8NCL4,106,82,52,164,152,77,132,55,96,147,94
Q8NCM8,5,2,0,10,4,10,8,6,15,36,4
Q8NCT1,401,558,313,688,585,324,415,362,203,794,392
Q8NCU4,14,27,1,52,29,3,27,4,7,14,10
Q8NCX0,3,0,3,11,2,5,0,1,0,13,7
Q8ND04,24,25,9,86,48,19,25,15,34,44,38
Q8ND61,722,619,387,908,701,347,590,451,58,269,582
Q8ND76,230,200,134,257,414,311,190,283,0,188,166
Q8NDA2,2049,2921,1031,2895,1827,1350,984,592,689,1562,1228
Q8NDA8,725,978,422,1145,1139,602,607,578,628,865,725
Q8NDG6,25,9,12,44,49,18,17,14,23,36,27
Q8NDH3,305,491,197,451,417,226,558,329,224,450,239
Q8NDI1,125,184,57,307,225,187,197,88,128,365,148
Q8NDL9,145,343,126,192,238,100,300,263,83,107,125
Q8NDV2,43,49,15,45,40,23,54,21,26,55,37
Q8NDX2,5,7,4,3,17,15,1,7,1,0,18
Q8NDZ6,160,173,98,205,236,122,210,115,37,96,154
Q8NE00,29,70,47,42,42,30,68,60,40,39,45
Q8NE09,42,74,56,61,25,46,100,109,39,95,48
Q8NE22,60,120,48,125,82,69,57,34,18,58,55
Q8NEE6,27,19,23,21,57,20,48,36,20,41,19
Q8NEG5,77,147,46,49,99,48,116,102,19,56,52
Q8NEM0,3,0,0,0,3,0,0,4,0,0,4
Q8NEN0,5,0,0,6,6,7,2,0,3,1,4
Q8NEN9,1,3,0,14,1,3,5,1,0,38,4
Q8NET6,9,2,0,11,6,6,15,1,10,21,9
Q8NET8,123,81,169,250,68,35,131,229,58,42,56
Q8NEV4,15,18,1,35,27,5,1,9,3,32,16
Q8NEZ4,8,8,5,22,24,13,2,1,7,23,8
Q8NF91,988,754,485,2228,1293,719,1456,740,384,2876,966
Q8NFA0,709,719,468,1449,1158,511,814,639,508,688,650
Q8NFD2,63,151,53,100,112,41,72,72,16,46,65
Q8NFF2,1,2,0,6,0,3,1,6,0,0,11
Q8NFG4,160,172,78,331,342,178,256,67,79,218,224
Q8NFH3,86,130,206,200,108,145,148,61,84,162,91
Q8NFH4,144,171,92,241,246,133,179,113,52,228,116
Q8NFJ9,149,194,86,210,207,103,162,164,51,159,106
Q8NFP4,0,0,0,0,3,0,0,3,0,0,0
Q8NFP9,231,118,82,335,212,175,275,248,144,432,168
Q8NFQ6,197,211,107,269,259,70,146,104,58,92,131
Q8NFT6,80,0,0,0,0,0,55,0,0,0,0
Q8NFT8,0,2,0,4,5,2,2,2,0,0,6
Q8NFU5,40,55,70,97,90,21,47,40,16,28,40
Q8NFW1,49,4,0,28,42,25,8,0,0,9,53
Q8NFW5,1,2,1,15,22,17,30,59,41,44,13
Q8NFZ0,0,0,0,5,1,0,3,1,0,3,5
Q8NFZ3,4,15,4,29,6,16,28,15,9,15,16
Q8NFZ4,19,12,1,34,12,12,14,0,1,13,12
Q8NG08,103,48,40,120,90,60,87,41,17,75,80
Q8NG66,249,231,117,417,422,236,203,137,118,404,229
Q8NG68,83,66,54,39,72,37,57,39,5,8,50
Q8NHM5,52,26,22,92,92,48,39,20,27,96,26
Q8NHP6,449,691,476,626,665,313,366,403,119,364,530
Q8NHP7,57,108,45,81,73,57,74,60,30,60,56
Q8NHP8,590,674,727,562,813,341,942,536,304,503,490
Q8NHR9,315,494,191,443,392,304,303,264,177,445,244
Q8NHS4,1,0,0,3,0,0,2,0,0,0,0
Q8NHU2,140,224,51,131,224,70,273,138,77,295,110
Q8NHV4,386,290,249,577,376,267,227,213,220,404,216
Q8NHX9,177,289,292,321,460,455,194,296,107,311,374
Q8NI36,43,21,17,47,34,8,17,12,18,29,17
Q8NKE2,92,62,52,150,150,64,111,156,231,59,65
Q8NUV9,335,97,73,349,225,245,223,59,279,201,205
Q8NWQ4,527,505,269,433,743,247,273,227,16,110,336
Q8P9T9,177,147,126,124,222,72,81,89,0,53,137
Q8Q0U0,207,171,95,338,353,186,219,151,72,312,185
Q8QFP8,71,39,23,154,84,41,44,19,0,31,77
Q8QFV0,346,275,153,363,405,158,287,133,86,156,193
Q8QFV1,31,65,40,60,22,21,38,24,0,4,41
Q8QG61,3175,484,572,2443,3290,880,2639,380,509,2483,821
Q8QG64,602,1079,281,804,856,449,918,448,434,711,453
Q8QGH2,437,898,386,800,469,392,550,420,248,444,298
Q8QGW7,411,709,314,616,552,406,953,698,540,486,346
Q8QGX4,553,455,474,1032,736,291,426,388,138,266,443
Q8QHI3,37,38,36,82,57,19,63,52,99,124,26
Q8QHL5,147,128,37,145,232,61,147,81,160,166,64
Q8QZR1,1046,36,389,1732,1113,265,1239,658,1595,1187,205
Q8QZR3,157,197,153,292,167,123,145,80,130,300,90
Q8QZR7,88,129,90,105,48,42,95,25,23,28,69
Q8QZS3,82,375,177,316,294,176,108,208,143,96,204
Q8QZT1,47,33,25,94,76,56,76,46,45,57,60
Q8QZV1,125,27,55,89,97,78,180,56,151,200,42
Q8QZX5,38,53,55,63,72,47,38,42,14,46,34
Q8R034,55,66,69,136,62,24,63,48,26,27,48
Q8R081,25,10,2,53,52,22,20,6,4,15,36
Q8R087,177,180,125,303,269,79,252,93,98,133,153
Q8R0A0,248,148,127,255,316,93,242,71,27,99,148
Q8R0A7,329,230,300,320,379,198,462,340,76,229,222
Q8R0H9,63,56,23,130,89,43,47,20,39,110,66
Q8R0J7,99,135,41,112,72,53,74,62,51,151,68
Q8R0X2,191,291,146,249,272,195,296,265,106,209,210
Q8R123,7,175,69,186,191,103,5,50,36,173,96
Q8R146,320,277,247,423,370,229,358,208,163,186,361
Q8R151,3322,2787,2095,4962,4963,2148,2358,2488,528,1894,2817
Q8R197,176,517,96,235,160,119,110,81,19,109,97
Q8R1A4,213,198,86,622,231,140,201,133,308,270,187
Q8R1F9,180,147,134,281,230,141,175,101,48,150,124
Q8R1K4,78,57,0,103,233,45,125,0,71,89,115
Q8R1N0,70,224,97,110,166,90,80,108,38,39,114
Q8R1Q3,0,4,4,0,1,2,0,10,0,5,1
Q8R1R3,12,1,0,14,0,0,17,0,9,0,0
Q8R1U2,292,284,137,262,243,207,205,99,102,147,161
Q8R1X6,234,274,135,308,350,128,320,233,85,181,160
Q8R205,330,385,188,601,450,318,422,284,266,500,256
Q8R238,1,1,0,9,3,3,2,0,0,0,3
Q8R2E9,375,652,233,174,349,121,349,202,59,163,188
Q8R2H4,40,25,1,45,12,20,32,11,10,23,8
Q8R2H5,271,277,225,620,376,197,205,170,112,250,212
Q8R2K4,166,321,205,408,253,153,210,175,56,125,228
Q8R2N2,35,28,31,60,43,35,15,1,0,3,43
Q8R2R1,0,0,0,1,1,0,0,0,0,0,0
Q8R2R5,252,472,175,344,342,120,289,236,58,160,208
Q8R2S9,7,0,0,18,0,28,0,7,0,0,8
Q8R2X8,111,103,40,162,129,72,195,96,177,195,101
Q8R2Y3,3,10,1,2,1,5,8,0,0,0,3
Q8R313,129,347,332,201,262,115,201,221,76,166,198
Q8R323,60,92,45,89,66,33,45,44,9,30,55
Q8R331,106,117,103,72,137,88,110,102,18,60,66
Q8R344,134,214,106,179,189,70,148,91,56,102,75
Q8R367,220,290,157,263,223,100,155,47,25,137,136
Q8R395,244,261,76,307,248,180,258,141,158,353,135
Q8R3B7,191,189,217,341,446,177,271,191,74,173,278
Q8R3C1,102,62,39,141,173,57,88,49,65,85,54
Q8R3C6,29,20,3,65,43,16,53,13,18,36,22
Q8R3F5,64,71,18,96,90,49,72,62,44,95,49
Q8R3H9,0,0,3,1,0,0,0,0,0,0,0
Q8R3J4,62,45,38,91,0,27,45,27,36,64,41
Q8R3J5,2022,1223,982,1778,1089,913,1482,389,2188,1010,839
Q8R3L2,899,1045,604,1001,978,614,1065,806,273,610,723
Q8R3P2,14,16,13,46,13,11,18,24,12,29,19
Q8R3P7,347,632,372,301,432,287,563,732,137,173,424
Q8R3P9,24,13,12,36,17,28,12,4,0,36,29
Q8R3S6,214,251,120,253,223,102,172,159,54,117,114
Q8R3W5,0,0,0,4,4,0,3,0,0,5,1
Q8R418,0,1,0,2,0,0,0,2,2,13,2
Q8R420,16,2,8,39,12,5,7,2,18,14,14
Q8R422,0,3,0,1,0,0,0,0,0,3,0
Q8R480,24,8,2,22,32,5,33,13,0,26,5
Q8R4F0,711,471,471,938,686,433,890,588,350,447,448
Q8R4G6,204,209,219,455,286,204,210,166,81,195,142
Q8R4G9,43,40,46,40,41,15,69,15,8,15,22
Q8R4I7,0,2,5,58,5,10,17,13,161,15,21
Q8R4K8,279,381,175,913,456,337,247,180,232,329,275
Q8R4L0,52,18,40,59,53,40,76,8,53,56,31
Q8R4P9,92,109,117,88,100,29,92,42,34,58,58
Q8R4U0,20,6,4,69,25,10,13,9,19,60,8
Q8R4V0,645,754,712,1160,975,513,713,649,509,873,568
Q8R4V5,5,0,13,0,16,7,9,9,38,0,18
Q8R4Y8,11,6,3,14,24,11,5,6,1,2,7
Q8R500,21,38,13,46,59,29,41,23,5,106,33
Q8R508,5,0,0,4,0,2,0,0,1,15,3
Q8R512,127,179,62,263,128,117,162,127,68,149,78
Q8R536,88,169,61,162,98,74,78,74,36,104,48
