Entry,pstr_c3,pstr_c5,pstr_c7,pstr_c8,pstr_d3,pstr_d5,pstr_d7
Q0P5W1,268,432,226,327,372,347,168
Q0P5Y3,3086,4353,2146,2967,5450,3613,621
Q0P678,933,864,468,473,530,602,842
Q0PAS0,0,0,0,0,1,0,0
Q0PXV9,0,0,0,0,0,0,0
Q0QEP2,0,0,0,0,3,0,0
Q0QF01,2978,6655,3763,3775,4831,4939,2625
Q0R4F1,6859,10646,4775,6251,7854,8700,2594
Q0T8X4,0,0,0,0,0,5,0
Q0ULD0,0,0,0,7,1,0,0
Q0V7M0,1522,1951,875,1444,1258,1621,1713
Q0V869,522,587,391,527,561,400,135
Q0V8B6,0,0,0,0,3,0,0
Q0V8L6,0,0,8,16,0,0,7
Q0V8M0,1017,962,534,811,765,796,639
Q0V8R6,1615,3688,1773,3488,1990,2541,432
Q0V8S0,1173,979,557,423,441,790,926
Q0V8S9,1817,100,12786,3045,9099,10081,51014
Q0V8T3,0,5,3,6,1,3,4
Q0V9A9,448,635,293,483,389,400,66
Q0V9C9,130,210,211,285,161,143,104
Q0V9J5,306,462,286,557,326,400,93
Q0V9K1,2354,408,850,1342,609,634,635
Q0V9S9,728,587,279,472,798,844,683
Q0V9V2,38,27,40,34,47,19,0
Q0V9W6,92,65,46,149,84,71,5
Q0VA03,0,0,0,4,0,3,0
Q0VA04,0,15,0,5,2,13,2
Q0VA16,198,631,346,411,305,456,213
Q0VA52,9,21,11,0,21,6,2
Q0VA77,317,839,292,486,550,497,424
Q0VAA2,955,1364,450,1014,827,976,379
Q0VBN2,31,12,35,30,61,13,21
Q0VBU9,258,232,126,192,195,237,294
Q0VC33,215,170,203,554,305,200,76
Q0VC71,49,171,47,178,112,94,18
Q0VC92,1668,921,1741,1089,1674,821,545
Q0VCA2,43,79,46,5,19,15,100
Q0VCD2,330,590,327,387,557,439,113
Q0VCJ7,145,278,102,111,162,243,350
Q0VCT3,588,453,331,609,416,441,108
Q0VD19,2479,3320,1943,3303,2692,2271,587
Q0VD24,101,180,181,238,78,104,1321
Q0VD26,414,930,486,531,324,720,75
Q0VD42,88,244,113,148,98,97,0
Q0VD51,1972,3151,1792,2227,2182,2344,2007
Q0VDD8,0,2,12,3,0,0,0
Q0VDN7,984,918,783,897,1315,922,1051
Q0VFA3,0,0,27,19,0,2,6
Q0VFD8,441,562,288,382,666,632,504
Q0VFE3,461,334,288,430,406,655,227
Q0VFM0,505,597,417,405,254,457,362
Q0VFN8,376,551,256,406,439,629,324
Q0VFR9,517,597,345,406,654,553,291
Q0VFZ6,394,376,212,278,498,489,562
Q0VGK3,93,188,123,111,152,150,68
Q0VGT4,61,108,56,107,108,99,54
Q0W8G2,0,0,0,0,1,0,0
Q0WLB5,0,0,0,0,1,16,0
Q0WMV8,0,0,0,0,0,0,0
Q0WMY5,0,0,6,4,0,0,0
Q0WRW8,0,0,0,0,0,10,0
Q0WU02,0,0,0,0,0,5,0
Q0WVF5,0,0,0,0,0,0,0
Q0WVW7,73,104,47,23,64,125,41
Q0WW55,145,278,220,314,198,282,34
Q0WYX8,0,0,6,0,8,4,13
Q0Z7W6,331,667,382,386,534,512,287
Q0ZB76,181,7,106,0,308,0,104
Q0ZDF7,135,157,128,189,89,125,28
Q0ZLH3,142,196,219,126,68,203,28
Q0ZS46,2617,1281,463,1469,1402,1408,599
Q10056,0,0,0,0,0,0,0
Q10068,202,264,461,549,146,131,141
Q10075,220,36,14,39,115,62,36
Q10092,0,0,0,0,0,0,0
Q10126,156,128,96,143,108,126,69
Q10159,7,13,10,0,19,10,8
Q10184,261,287,144,292,265,265,69
Q10233,0,0,0,0,1,0,0
Q10323,0,0,3,0,4,0,0
Q10422,59,94,79,53,97,29,3
Q10471,2385,3284,1765,2544,2252,2261,1247
Q10567,3273,5002,3004,5069,3139,4506,5336
Q10586,6866,18462,3443,5276,4551,3804,3382
Q10751,215,314,323,193,418,400,228
Q10901,279,468,304,573,275,435,99
Q10991,0,0,0,0,0,0,0
Q10KY3,0,0,0,0,0,38,0
Q10L71,0,0,0,0,0,0,0
Q10LQ2,0,0,0,0,0,0,0
Q10MX3,0,0,0,0,0,4,0
Q10N20,0,0,0,0,0,0,0
Q10ND7,45,154,25,30,33,49,6
Q10S58,0,0,0,0,0,1,0
Q11011,2056,2027,1346,1617,1440,1943,669
Q11127,31,130,30,46,31,101,18
Q11136,1756,1514,943,877,1999,1216,229
Q112Z5,0,0,0,0,0,0,0
Q116Q3,0,0,0,0,0,8,0
Q11HR8,0,0,0,0,0,2,0
Q11VM5,752,876,530,548,714,634,193
Q11VZ3,0,0,2,0,0,0,0
Q12056,0,0,0,12,2,2,0
Q12288,64,135,29,64,43,74,0
Q12578,81,119,41,104,33,47,23
Q12690,0,0,0,0,0,0,0
Q12737,0,0,0,0,0,0,0
Q12766,2253,4898,1225,2856,1302,3408,972
Q12789,921,938,308,546,805,870,259
Q12834,100,164,198,209,173,231,11
Q12852,272,440,365,339,261,251,133
Q12873,9,3,20,24,9,16,1
Q12882,397,480,461,488,498,434,214
Q12904,959,689,291,522,666,834,250
Q12933,287,213,202,157,142,211,120
Q12950,0,8,0,0,1,2,9
Q12952,304,66,301,65,305,660,45
Q12955,1884,3269,1435,2528,1913,1720,962
Q12962,1,0,2,1,0,1,0
Q12996,1288,1260,850,1275,1089,1046,648
Q13042,51,151,110,108,118,88,13
Q13045,6,10,0,0,2,13,0
Q13114,1005,1242,463,703,953,828,254
Q13123,1554,1907,1094,1455,1514,1610,985
Q13217,478,1203,714,1014,298,1058,230
Q13257,0,0,11,0,8,6,0
Q13310,39327,28149,21522,31956,20750,23197,13588
Q13315,4,2,7,0,0,2,0
Q13402,262,136,357,567,251,412,172
Q13415,42,12,0,0,46,10,65
Q13416,446,265,166,375,311,396,358
Q13435,8742,18581,10229,9739,11112,12114,4604
Q13454,1617,1861,1547,1984,978,1280,478
Q13459,3547,4425,2632,4053,4363,3169,2349
Q13485,3,0,0,12,2,6,18
Q13490,491,1155,187,438,327,538,112
Q13523,798,907,661,862,630,739,247
Q13569,200,257,101,155,224,175,57
Q13619,1136,2189,1148,1593,1146,1434,619
Q13630,9863,5114,3138,4861,5497,10434,3463
Q13637,827,920,681,610,520,884,282
Q13686,275,202,133,154,302,159,89
Q13797,863,2361,1331,1616,1348,1710,5436
Q13813,26,43,16,15,10,46,7
Q13825,155,240,123,84,162,121,43
Q13873,1474,5208,1611,2946,1687,1795,620
Q13887,705,1668,955,1667,731,1041,1838
Q13951,1388,1593,974,1942,1763,1723,2286
Q13972,3,6,1,0,0,13,0
Q13976,0,0,0,0,0,0,0
Q14012,0,0,0,0,0,0,0
Q14032,201,110,73,347,151,160,119
Q14094,2431,2294,1113,2359,2188,2060,660
Q14135,1232,1114,835,1622,1453,1118,302
Q14147,2,0,5,0,1,0,9
Q14149,1153,1593,677,1059,690,865,335
Q14151,8819,4055,1878,4139,3607,3238,1242
Q14155,504,488,391,481,407,350,298
Q14185,1000,2143,1261,1459,1149,1693,401
Q14191,176,178,13,57,163,142,0
Q14192,848,1833,1002,1228,1080,1289,536
Q14202,69,67,34,91,38,53,7
Q14314,65,318,106,101,96,88,0
Q14344,148,247,56,131,141,191,50
Q14432,38,15,8,0,5,18,4
Q14444,1261,1837,1277,1555,530,1365,432
Q14517,24,3,0,8,8,12,0
Q14527,530,752,264,752,514,640,32
Q14541,3574,6290,2975,3648,2314,2828,1051
Q14549,147,418,274,432,307,242,277
Q14554,0,3,6,8,1,8,8
Q14565,19,18,0,5,7,4,0
Q14590,81,40,47,34,25,36,31
Q14624,988,2241,1217,2174,1248,1924,839
Q14642,1419,1459,691,1094,1318,1434,640
Q14643,10,6,1,0,0,0,0
Q14656,21,95,80,79,65,53,9
Q14674,60,105,41,121,92,73,2
Q14690,0,0,0,0,3,0,0
Q14692,6,0,0,8,5,7,0
