Entry,cnat_c2,cnat_c3,cnat_c4,cnat_c6,cnat_c8,cnat_d2,cnat_d3,cnat_d4,cnat_d6,cnat_d8
Q682I1,0,22,20,0,0,0,40,19,0,0
Q684M4,135,42,124,32,29,144,71,117,9,18
Q689Z5,0,0,0,0,0,0,0,0,0,0
Q68CJ6,0,0,0,0,0,0,0,0,0,0
Q68CJ9,1072,411,718,210,123,2623,1021,2995,491,297
Q68CL5,114,38,110,31,14,145,62,121,9,45
Q68CR1,129,193,180,44,58,53,113,78,0,55
Q68CZ6,40,26,26,16,18,16,27,20,0,8
Q68DK2,408,40,286,45,28,381,108,427,35,2
Q68DK7,807,223,377,303,337,793,416,667,74,516
Q68DU8,26,43,22,8,10,26,17,16,12,34
Q68ED7,207,76,174,23,8,361,118,263,20,7
Q68EK7,2157,1097,1460,593,859,2561,1405,1834,528,1351
Q68EL3,242,235,207,127,322,367,341,296,33,367
Q68EQ9,0,0,0,0,0,0,2,0,0,0
Q68EV6,91,162,117,31,0,66,133,109,5,39
Q68EY9,339,345,406,69,58,1006,734,1115,18,76
Q68F38,283,229,203,107,148,373,409,456,32,215
Q68F45,0,0,0,0,0,0,0,0,0,0
Q68F60,74,2,6,33,14,22,5,1,10,26
Q68F70,98,13,20,24,7,97,32,36,11,29
Q68F72,238,36,87,57,83,265,78,105,30,106
Q68FA2,1054,701,966,302,503,2563,1193,2012,425,882
Q68FD5,7378,2784,4014,1480,2255,11780,8073,9145,1923,2892
Q68FD7,1528,645,1000,580,292,2697,921,3510,163,591
Q68FE2,135,46,192,26,12,231,76,252,0,2
Q68FF9,163,119,124,57,89,34,150,120,0,51
Q68FI4,2622,2003,1778,882,1415,2909,2949,2282,408,1767
Q68FK8,0,0,0,0,0,0,0,0,0,0
Q68FL6,401,21,60,87,75,264,29,140,0,4
Q68FQ0,153,20,15,51,53,238,40,25,31,96
Q68FS4,97,256,213,41,26,72,214,258,21,53
Q68FU5,81,49,52,46,16,95,72,30,0,32
Q68G30,0,0,0,0,0,0,0,0,0,0
Q68US5,713,838,870,166,1084,405,360,314,7,1127
Q68UT7,0,0,0,0,6,0,2,0,0,0
Q68XI3,0,55,67,0,0,0,35,43,0,0
Q693B1,148,53,42,63,6,88,44,27,0,3
Q69FB6,0,2,6,0,0,0,7,0,0,0
Q69PA8,231,35773,39691,1,44,14,34252,26136,45,41
Q69QZ0,0,2,0,0,0,0,0,2,0,0
Q69SA9,0,0,0,0,0,0,0,0,0,0
Q69TN4,0,0,0,0,0,0,0,0,0,0
Q69TY4,0,0,0,0,0,0,0,1,0,0
Q69TY5,0,0,0,0,0,0,0,0,0,0
Q69Z23,0,29,71,0,0,0,46,52,0,0
Q69Z99,37,1,22,2,0,32,5,10,0,2
Q69ZB8,381,166,227,143,27,113,78,80,0,2
Q69ZF8,40,6,30,5,9,26,11,22,0,1
Q69ZM6,3,203,179,0,0,0,161,133,0,0
Q69ZN7,191,13,50,20,0,28,27,43,12,1
Q69ZQ2,71,82,56,29,61,113,104,94,35,38
Q69ZR2,726,186,430,139,54,1901,819,1238,137,125
Q69ZS7,185,81,117,114,102,264,150,97,47,116
