Entry,past_c1,past_c5,past_c6,past_c7,past_d1,past_d2,past_d3,past_d4,past_d5,past_d6,past_d7
A2SMZ3,30,9,14,0,30,14,11,7,6,2,2
A2T359,153,97,25,31,3011,158,46,76,39,828,18
A2VD33,0,2,15,0,2,6,2,2,2,0,0
A2VDD2,87,37,39,4,85,63,31,45,22,34,14
A2VDN6,47,1,20,2,46,47,9,31,6,10,5
A2VDP2,216,82,178,16,223,182,113,84,98,36,1
A2VDR2,151,68,121,20,144,165,66,67,86,31,22
A2VDV2,204,86,71,0,310,203,75,37,54,158,14
A2VE52,75,39,30,5,43,48,30,27,23,4,11
A2VE79,40,0,12,0,24,38,2,13,7,6,0
A2VEY9,8,28,43,1,41,42,14,23,39,9,14
A2WNF5,73,27,46,0,46,51,16,21,42,5,13
A2WY46,1009,265,895,37,1053,1079,414,430,188,1203,59
A2WZT1,1,0,0,0,0,0,0,0,0,1,0
A2X6E6,127,52,125,20,146,167,74,56,74,41,6
A2Y8B9,3,0,0,0,6,0,0,0,0,0,0
A2Y8E0,1601,353,739,118,1500,1224,497,620,303,743,95
A2Y9M4,144,38,50,9,198,87,56,49,41,40,12
A2YV85,173,53,126,8,144,179,59,63,50,13,27
A2YZ24,40,29,37,1,22,42,5,9,20,0,5
A2ZVI7,499,227,357,46,440,469,249,160,240,129,56
A3AF13,74,21,20,0,111,109,43,20,4,31,7
A3AWA4,159,68,121,15,249,115,61,59,30,97,4
A3AYR1,179,28,111,17,135,165,70,90,70,51,24
A3B529,130,79,0,18,128,161,5,64,0,0,18
A3BFT0,195,37,105,20,216,215,58,80,94,51,17
A3C6G9,71,29,31,4,91,88,31,37,8,20,1
A3DBX3,0,0,0,0,0,0,0,0,0,0,0
A3DC22,1031,307,700,77,975,903,463,587,164,1137,51
A3DC75,17,1,8,0,19,22,6,12,8,17,0
A3DN24,48,11,7,4,13,39,31,14,28,6,10
A3E4D8,163,55,111,16,155,181,77,77,59,64,18
A3FEW8,30,5,10,0,55,28,20,16,16,32,2
A3FIN4,286,132,173,58,354,243,119,116,107,97,26
A3KFU9,110,45,114,11,73,138,57,29,39,8,11
A3KGZ2,0,0,0,0,0,0,0,0,0,0,0
A3KMH1,99,17,20,3,44,72,25,12,35,13,4
A3KMI0,50,24,36,3,54,38,26,16,7,10,2
A3KPE8,124,59,51,2,113,122,54,39,41,21,16
A3KPP3,214,23,52,15,153,135,67,56,25,85,19
A3KQ55,49,8,27,8,17,31,12,21,5,18,4
A3KQS4,99,46,80,3,64,123,39,51,67,62,14
A3LQW7,70,38,48,11,56,48,12,49,26,7,6
A3LS22,12,14,0,0,6,2,3,1,2,4,1
A3LSY7,270,66,157,13,307,227,104,114,79,23,19
A3LSZ2,123,28,37,15,133,119,29,52,34,36,4
A3LXL0,0,0,0,0,0,0,0,0,0,0,0
A3N3R7,0,0,0,0,2,0,0,0,3,0,0
A3PCY8,8,1,7,0,12,7,9,3,5,15,2
A3PEI3,27,14,5,0,21,6,22,11,7,0,0
A3PF30,1,0,3,0,3,7,0,7,1,4,0
A3QJC8,45,8,2,15,60,59,0,11,5,14,2
A3RCV9,18,18,11,1,16,44,7,8,25,0,1
A3SR25,125,47,46,4,126,144,31,16,30,32,6
A4F7P5,89,57,89,17,99,108,54,59,45,5,7
A4FV84,124,46,76,9,139,145,43,67,36,71,37
A4G0J1,43,20,23,3,30,35,18,11,13,13,12
A4G865,0,0,0,0,0,0,0,0,0,0,0
A4GNA8,57,30,88,2,42,61,32,5,30,5,1
A4IF94,27,3,23,0,17,15,0,4,15,4,3
A4IFF3,116,20,18,1,95,66,21,21,17,20,3
A4IG53,7,0,0,0,1,9,5,0,2,0,0
A4IG72,33,35,34,6,66,55,37,31,28,2,4
A4IH82,71,29,40,5,56,77,22,50,28,11,18
A4IHH4,16,6,0,0,14,19,2,1,5,2,0
A4IHK6,145,52,82,11,140,137,39,62,60,30,10
A4IHR1,96,17,56,18,79,74,37,32,50,24,2
A4II73,28,3,16,1,18,37,26,11,16,4,4
A4IIN5,54,30,46,1,55,30,41,38,30,1,2
A4IIS8,42,7,19,5,36,33,17,15,11,23,1
A4IJY6,77,17,58,14,44,62,29,31,26,41,2
A4IL76,22,12,6,5,13,14,12,1,5,0,0
A4IYA1,0,0,0,0,0,0,0,5,0,0,0
A4JB86,21,5,28,3,17,11,8,2,6,0,0
A4JPG9,84,72,65,16,126,107,68,21,32,19,8
A4K2R3,134,47,45,4,160,79,33,53,13,25,24
A4PBL4,92,42,53,18,59,58,39,31,32,11,4
A4Q9E8,117,32,48,26,99,177,63,75,59,93,8
A4Q9F3,82,16,28,2,82,77,40,30,21,28,20
A4QL32,127,18,93,6,71,59,44,21,19,50,11
A4QN59,49,15,32,7,33,54,7,18,18,0,20
A4QNR8,90,33,39,9,88,56,35,25,27,16,14
A4R606,268,70,160,9,126,214,93,101,74,49,25
A4RW83,279,82,171,15,242,211,79,121,51,104,9
A4SE48,362,105,195,28,419,394,149,82,79,277,36
A4SGM9,0,0,0,0,0,0,0,0,0,0,0
A4SPR6,0,0,0,0,0,0,0,0,0,0,0
A4TE41,149,46,50,0,123,140,55,53,40,29,28
A4VIL0,26,5,23,0,25,48,6,10,10,5,2
A4VLU6,77,26,32,5,36,57,17,19,23,20,6
A4W369,0,0,0,0,0,0,0,0,0,0,0
A4WF97,20,6,0,0,9,15,1,0,7,0,2
A4WVF5,0,0,0,0,0,0,0,0,0,0,0
A4WWV6,5,0,22,0,2,3,1,1,0,0,1
A4XPM7,29,7,14,9,23,37,19,14,28,7,7
A4XPS6,0,0,0,0,0,0,0,0,0,0,0
A4XZ96,36,11,40,12,19,49,15,19,20,11,1
A4Y3F4,85,30,38,2,70,95,42,33,15,30,2
A4Y8W7,91,32,26,5,78,79,26,42,28,72,2
A4YGN0,7,3,0,0,9,8,3,0,0,0,3
A4YI89,251,69,207,5,151,177,66,64,48,37,26
A4YJX9,6,0,0,0,1,0,0,0,0,3,0
A4YQF7,61,19,6,2,80,68,14,42,16,14,3
A4YWC7,0,0,0,0,0,0,0,0,0,0,0
A5CPE3,63,28,26,16,41,58,11,19,20,9,15
A5CQ46,61,29,84,12,54,51,27,19,55,8,16
A5CZ28,0,0,0,0,0,0,0,0,0,0,0
A5D6U8,0,0,0,0,0,0,0,0,0,0,0
A5D9W7,176,61,158,21,264,181,73,47,46,81,34
A5DAC8,40,10,28,3,13,20,18,12,16,11,1
A5DBG4,0,0,0,2,0,0,1,5,0,0,0
A5DW14,4,0,0,0,8,6,0,3,0,0,0
A5DZE6,140,65,173,22,121,205,82,53,73,38,21
A5EVM2,106,50,49,4,102,54,33,31,19,38,12
A5EX84,0,0,0,0,0,0,0,0,0,0,0
A5F0D5,57,23,24,10,108,60,37,49,13,26,2
A5F4G3,260,51,67,38,328,214,92,105,50,79,15
A5FKJ2,104,25,48,9,71,100,54,67,24,25,8
A5FMP6,104,29,43,19,88,89,39,40,23,26,10
A5GFW1,151,56,89,17,130,91,48,30,59,31,5
A5GRU8,3356,831,1996,146,3484,2800,1155,1783,492,1804,190
A5ILF6,38,16,26,2,40,81,15,18,17,5,0
A5JTQ3,272,93,78,21,393,202,71,170,33,126,13
A5JYS0,31,11,25,12,37,37,15,23,21,11,2
A5K0N4,1012,346,602,135,879,886,336,341,345,154,62
A5PK19,157,54,83,20,85,166,45,48,70,34,29
A5PK45,170,131,138,41,229,194,86,88,60,36,12
A5PK74,15,0,19,1,5,11,9,1,0,7,1
A5PL98,0,0,0,0,0,0,0,0,0,0,0
A5PMF6,98,38,95,7,78,79,20,18,51,23,9
A5PMU4,52,10,30,0,89,84,24,31,13,55,3
A5PN09,73,37,34,18,84,68,51,39,48,4,0
A5U6Y1,86,24,31,8,87,46,11,12,14,13,12
A5UK20,47,18,39,7,29,72,23,13,7,5,2
A5ULM5,0,0,0,0,7,0,0,0,0,0,0
A5UN65,0,2,0,0,8,9,6,1,1,0,1
A5UYW4,19,16,8,0,23,19,0,11,6,5,3
A5VJ94,92,45,92,20,92,102,31,33,29,16,26
A5WFR0,0,3,6,0,0,0,0,0,0,0,0
A5WVX1,80,59,94,3,80,91,39,17,37,26,5
A5YM72,183,26,119,9,113,142,76,45,41,63,8
A6BM06,37,22,11,8,31,44,26,20,33,12,9
A6H1P4,69,62,39,10,99,75,43,87,14,65,1
A6H6A9,139,58,117,11,107,190,67,87,83,46,12
A6H759,5,6,8,2,10,20,5,12,0,6,1
A6H8H5,69,25,54,16,86,93,33,25,39,2,8
A6H8Z2,3,0,9,7,6,10,5,10,2,0,3
A6LAP3,41,19,15,3,33,53,19,38,21,12,2
A6LFV1,12,15,7,5,8,34,8,12,8,4,5
A6LNY4,270,185,158,73,226,371,160,174,170,364,82
A6MVS6,0,0,0,0,0,0,0,0,0,0,0
A6MVW9,338,74,183,45,265,215,98,69,89,107,21
A6MVX9,1,0,0,0,1,2,0,0,0,0,0
A6N6J5,629,158,291,53,459,443,189,203,157,78,28
A6NC57,0,0,0,0,0,0,0,0,0,0,0
A6NK02,0,0,0,0,0,0,0,0,0,0,0
A6NMK7,10,2,3,6,6,11,3,1,5,6,0
A6NN14,0,0,0,0,0,0,0,0,0,0,0
A6P3B2,0,0,0,0,2,0,0,0,0,0,0
A6Q486,133,10,42,6,90,112,71,25,35,29,6
A6QL50,33,2,15,6,22,15,19,13,8,11,1
A6QL63,68,13,82,5,91,64,24,18,17,20,7
A6QLH5,4,2,3,0,3,1,0,3,0,14,0
A6QLU1,410,176,195,17,671,443,173,177,56,376,19
A6QLU8,13,7,0,0,18,25,8,6,2,7,5
A6QP05,161,36,72,2,142,141,58,51,48,22,9
A6QP29,35,14,17,5,26,44,15,25,11,19,8
A6QP55,0,0,0,0,0,0,0,0,0,0,0
A6QPN6,56,13,25,3,55,47,26,23,22,9,4
A6QQM4,0,0,0,0,0,0,0,0,4,0,2
A6QQU6,14,9,19,0,8,17,5,0,6,0,0
A6QYH8,0,0,0,0,0,0,0,0,0,0,0
A6RC50,0,0,0,0,0,0,0,0,0,0,0
A6RPU8,10,0,4,7,11,14,8,5,8,1,6
A6SCT6,211,65,161,32,171,234,85,74,117,49,15
A6SG70,94,21,64,4,62,46,27,6,30,27,6
A6TEB3,130,21,43,2,51,95,33,26,46,10,11
A6TEE9,10,2,0,0,3,3,0,1,0,0,4
A6UEY1,0,0,0,0,0,0,0,0,0,0,0
A6VG23,49,6,22,19,33,35,21,0,7,0,3
A6VMR4,54,9,21,3,48,46,20,35,26,8,6
A6WYH5,84,19,19,7,105,64,26,18,23,22,21
A6WYI0,27,10,20,6,32,21,9,16,10,14,4
A6X7E7,180,21,91,11,163,201,59,33,35,81,27
A6ZM04,46,23,12,4,25,27,11,13,4,15,1
A6ZMR9,0,0,0,0,0,0,0,0,0,0,0
A6ZYI0,0,0,0,0,0,0,0,0,0,0,0
A7AMD1,0,0,0,0,0,0,0,0,0,0,0
A7E2V1,635,178,414,56,490,528,224,254,204,52,42
A7EJY3,92,39,36,8,139,120,60,34,19,26,1
A7F045,19,1,20,0,16,16,10,10,12,0,2
A7G9Q7,0,0,0,0,0,0,0,0,0,0,0
A7GI10,0,0,0,0,0,0,0,0,0,0,0
A7GMR0,32,16,38,5,30,37,23,25,21,12,2
A7HHN3,28,13,25,0,12,21,13,9,24,0,7
A7HM43,28,3,15,0,14,12,0,4,4,0,0
A7HME4,0,0,0,0,0,0,0,0,0,0,0
A7HSA5,38,5,35,2,14,46,5,11,16,2,4
A7I4T7,130,21,42,5,46,113,26,37,24,41,19
A7I5P9,0,0,0,0,0,0,0,0,0,0,0
A7KAU3,43,16,13,2,36,43,11,7,12,42,11
A7LXS9,30,9,19,5,49,54,37,14,4,10,4
