Entry,mcav_c1,mcav_c3,mcav_c5,mcav_c6,mcav_c7,mcav_c8,mcav_d1,mcav_d2,mcav_d3,mcav_d4,mcav_d5,mcav_d6,mcav_d8
P25102,33,17,70,4,13,19,50,31,34,4,40,56,11
P25115,0,0,0,0,0,0,0,0,0,0,0,0,0
P25228,31,7,53,7,11,57,68,55,30,10,0,5,21
P25291,310,257,634,33,519,506,7572,1554,1055,491,758,4139,391
P25324,178,214,279,65,301,733,195,225,418,136,114,253,162
P25490,706,316,851,83,617,1148,1952,730,1253,357,279,1184,579
P25703,319,224,504,37,470,647,705,144,617,118,99,262,228
P25776,9,1,3,0,6,3,6,0,18,1,0,0,1
P25782,2,0,1,0,0,4,2,1,0,0,0,0,0
P25787,297,143,465,47,380,712,1187,331,867,259,219,736,385
P25788,212,54,242,20,182,375,851,173,526,120,199,642,159
P25867,1046,622,1483,127,1293,2096,3591,1536,2556,704,278,2511,1005
P25916,112,124,245,9,295,324,383,144,365,50,66,362,190
P25931,247,135,555,40,395,561,2576,341,747,114,129,1269,277
P25941,14,0,26,0,3,6,13,9,3,6,0,0,1
P25976,7,1,27,0,12,21,23,8,18,1,0,1,0
P26009,125,72,365,12,141,438,1919,251,395,85,23,471,88
P26042,15,13,29,11,18,25,59,33,47,12,0,34,9
P26150,68,32,108,11,35,92,124,56,83,30,42,107,51
P26221,0,0,0,1,5,6,0,29,0,0,0,0,2
P26255,0,0,6,1,1,4,0,0,5,0,2,9,0
P26262,213,69,223,6,152,0,226,377,204,0,46,140,44
P26368,354,615,1936,113,786,1609,1588,476,1706,233,199,1084,565
P26445,225,151,201,41,176,408,35,53,58,13,18,76,103
P26446,98,86,143,8,280,409,85,125,260,103,20,87,159
P26619,16,13,68,0,31,351,164,15,30,3,10,45,161
P26636,486,429,575,70,553,864,2905,485,1360,269,275,1994,694
P26642,13480,5459,8335,1603,8324,10601,12017,17267,12864,8374,5479,12374,5635
P26652,363,150,494,23,296,811,1961,239,305,66,71,1269,133
P26686,690,544,1233,176,873,1494,1891,694,1475,490,338,1319,856
P26696,697,359,1132,106,972,1575,2020,1002,1375,340,239,1111,634
P26714,1,3,8,1,1,11,0,0,0,1,0,0,5
P26801,389233,128257,191937,34561,198290,282020,242353,372776,307735,156777,98424,146897,175934
P26818,677,325,940,86,714,1240,950,523,861,220,210,669,554
P27074,8683,3079,5160,1445,6244,8767,6561,11330,8042,5951,3842,7922,3894
P27080,4,0,0,0,0,0,30,4,7,72,0,14,1
P27085,15290,5151,8772,2209,8534,10812,8279,20904,13851,9243,4753,11038,5460
P27088,36,12,46,12,19,73,91,9,63,41,13,43,20
P27093,529,307,915,107,1349,1534,197,363,228,96,173,37,366
P27164,49,18,19,0,20,39,63,25,11,12,0,9,11
P27393,2184,1182,3037,240,1829,4389,3496,2442,2708,891,288,1905,644
P27401,114,217,1038,51,461,636,380,329,363,63,49,261,412
P27467,4,11,0,0,4,26,118,6,0,0,0,0,0
P27482,0,0,3,1,6,3,1,0,0,0,0,2,0
P27545,73,24,168,8,43,203,122,57,82,25,4,24,23
P27590,44,22,59,1,18,112,60,43,79,4,0,65,19
P27600,28,13,37,4,9,42,38,9,29,5,5,6,26
