Entry,mcav_c1,mcav_c3,mcav_c5,mcav_c6,mcav_c7,mcav_c8,mcav_d1,mcav_d2,mcav_d3,mcav_d4,mcav_d5,mcav_d6,mcav_d8
Q4QQT0,33,33,85,18,61,129,101,20,115,11,0,54,91
Q4QQW5,141,348,755,108,659,1376,916,181,1018,104,250,897,743
Q4QQW8,33,21,39,11,33,77,12,40,73,6,0,1,31
Q4QR58,40,51,234,3,98,132,221,32,163,12,13,103,48
Q4QR86,78,21,44,3,35,93,33,43,74,22,0,14,30
Q4QR88,0,0,2,0,2,1,0,2,10,3,0,0,0
Q4QRK0,204,68,269,9,114,437,467,292,423,163,79,202,176
Q4R0J7,218,90,298,23,232,423,889,229,540,95,43,1772,200
Q4R1I4,3,4,2,0,5,7,4,0,6,4,0,10,5
Q4R366,63,83,163,29,139,185,306,51,259,48,137,298,106
Q4R3D4,1880,492,1032,79,1246,880,2533,3337,2800,2119,666,2745,603
Q4R3G4,79,95,128,16,160,265,97,82,161,47,0,96,105
Q4R3J0,21,13,34,8,22,43,58,15,58,2,0,25,24
Q4R3Y4,190,78,244,20,199,256,491,207,397,59,52,260,143
Q4R495,96,48,127,4,103,203,485,82,244,84,9,278,82
Q4R4C7,32,31,75,6,48,82,98,40,132,31,26,55,30
Q4R4E1,9,6,10,2,7,17,27,8,24,9,0,24,6
Q4R4J0,957,423,1142,118,1156,1857,2320,1198,2847,785,486,1977,860
Q4R4P4,52,10,58,3,29,43,14,29,9,1,12,21,0
Q4R4R4,67,21,151,2,125,316,161,98,73,61,0,55,92
Q4R4R6,96,55,146,11,99,211,405,50,191,31,30,93,81
Q4R4S5,154,101,75,11,32,164,1365,234,535,154,14,969,31
Q4R4T9,169,150,315,35,264,431,794,188,522,114,108,564,242
Q4R4Z9,1,11,25,1,47,43,0,5,4,4,0,0,26
Q4R516,24,37,71,5,68,104,169,44,138,5,43,330,82
Q4R562,653,287,685,69,563,1001,745,371,648,170,239,439,450
Q4R5C3,13,0,7,0,4,15,9,12,4,4,0,20,6
Q4R5D4,13,7,29,0,14,25,51,5,49,0,0,6,8
Q4R5D9,73,74,217,17,84,176,243,57,161,7,6,59,34
Q4R5G7,290,652,1047,232,1143,997,662,138,1048,79,619,826,626
Q4R5J4,2222,845,1722,246,2107,3622,13887,3149,6046,1724,1082,4004,2916
Q4R5P6,5,4,13,10,6,24,37,22,17,1,0,4,1
Q4R5T4,132,117,196,15,152,173,401,92,369,45,51,244,59
Q4R5X8,145,39,170,18,141,277,318,108,239,52,77,126,116
Q4R5Y0,11,2,8,0,5,19,88,1,31,22,0,17,16
Q4R630,15,2,10,0,7,17,6,19,12,6,0,4,5
Q4R684,45,35,107,23,112,138,223,66,151,16,0,95,67
Q4R6I5,145,28,175,9,116,313,283,170,136,38,21,119,133
Q4R6P7,352,205,417,48,350,651,4082,670,1238,352,167,4090,405
Q4R6Q7,498,177,473,44,281,595,483,161,609,88,34,287,203
Q4R6T3,138,107,294,16,244,248,279,94,344,41,38,216,119
Q4R6V2,127,108,256,38,248,438,982,346,586,172,104,529,194
Q4R6W9,5,9,25,2,35,32,68,2,44,8,4,47,9
Q4R729,1,8,29,3,61,1,1393,68,484,358,6,2374,2
Q4R794,143,53,115,18,164,343,336,69,217,56,0,132,86
Q4R7D3,69,36,71,2,47,95,317,71,145,33,0,203,56
Q4R7D5,3,91,117,13,22,37,206,10,209,6,9,143,17
Q4R7K1,233,70,283,24,161,455,788,357,421,121,98,328,140
Q4R7L3,331,132,280,38,243,352,1326,422,683,212,162,1233,191
Q4R7N3,10,4,46,3,19,31,72,15,45,9,18,45,15
Q4R7R1,66,206,317,47,228,279,503,87,507,16,56,386,119
Q4R7U0,42,17,79,4,57,72,51,39,70,6,14,33,53
Q4R7V3,0,41,42,0,0,9,52,0,9,36,0,0,16
Q4R7W3,178,121,255,28,224,412,729,206,399,80,28,564,175
Q4R828,32,36,42,6,85,92,201,22,149,18,22,112,48
Q4R899,24,8,40,1,10,39,124,53,61,9,9,36,6
Q4R8C7,59,5,74,0,24,88,83,20,50,39,0,9,27
Q4R8G4,19,20,20,8,10,54,39,15,94,3,34,69,43
Q4R8M9,117,67,193,21,160,256,456,127,356,51,18,293,85
Q4R8N2,39,30,108,7,75,143,134,66,129,7,0,90,66
Q4R8N7,417,172,499,40,376,736,799,305,770,163,138,340,421
Q4R8X0,0,0,18,0,31,37,29,0,15,0,0,0,4
Q4R918,66,48,99,6,46,160,194,82,133,11,15,110,75
Q4R979,182,234,355,65,199,650,792,297,1036,80,170,758,305
Q4SBY6,9,4,8,0,9,15,8,0,17,2,0,0,3
Q4SPU8,31,1,10,0,2,9,29,17,17,0,0,5,5
Q4SQ06,147,127,187,22,296,325,363,318,664,118,104,345,181
Q4T2X8,31,38,95,16,71,136,152,43,214,27,56,177,95
Q4TU93,1,0,3,0,0,2,3,0,0,0,0,0,0
Q4U0S5,434,180,574,51,427,763,1024,462,1025,227,130,630,326
Q4U0T9,145,83,252,18,172,226,207,66,184,28,50,94,52
Q4U2R1,217,121,440,32,301,558,763,325,436,73,105,419,259
Q4U2V3,0,11,17,2,5,32,36,25,24,4,0,23,5
Q4U4D2,1,0,3,0,0,1,1,8,0,2,0,0,0
Q4U4T0,0,0,2,0,4,2,0,0,8,0,0,0,3
Q4U5R4,48,24,73,7,51,70,38,42,58,13,30,19,41
Q4UMH6,663,595,1338,198,862,1517,1496,561,1311,212,603,1189,922
Q4UN31,30,29,46,8,56,33,54,36,70,17,52,14,9
Q4V7C6,53,23,65,0,38,102,146,17,75,16,0,45,66
Q4V7C7,1177,519,1594,128,1210,1982,2161,1791,2904,980,375,1820,833
Q4V7L5,14,15,38,4,24,61,49,22,67,2,29,46,19
Q4V7N2,8,0,9,0,1,7,15,0,3,1,0,10,2
Q4V7N4,62,39,60,17,126,163,476,30,118,35,39,148,49
Q4V7Q1,78,44,77,15,91,131,260,42,164,44,0,215,88
Q4V7Q6,9,1,11,2,32,17,12,8,15,5,0,4,6
Q4V7Q8,64,60,84,9,90,94,262,76,131,40,41,162,47
Q4V7T8,0,5,3,0,0,5,10,0,1,0,0,0,0
Q4V7W3,366,169,273,41,309,646,1053,272,690,163,153,834,251
Q4V832,5,7,20,1,5,19,49,12,33,0,0,10,1
Q4V847,217,89,306,14,137,260,570,190,374,66,31,211,89
Q4V863,37,42,91,1,75,132,172,22,121,10,24,41,72
Q4V899,0,1,10,0,0,6,15,2,11,0,0,2,0
Q4V8B0,113,105,174,23,184,276,53,54,122,9,0,52,56
Q4V8C2,3,0,4,0,7,9,14,3,4,0,0,0,1
Q4V8E9,4,3,11,0,3,28,22,9,19,4,0,7,22
Q4V8V1,37,17,35,2,9,55,102,56,44,9,0,39,14
Q4V9P6,3,5,13,8,0,13,72,0,30,4,0,27,7
Q4V9P9,2,2,12,0,0,5,10,0,5,0,0,0,7
Q4VA61,5,4,8,0,6,14,40,1,8,4,0,19,3
Q4VA72,16,1,4,0,8,21,39,8,13,5,16,17,6
Q4VBE4,246,589,782,56,700,921,1881,394,1760,253,255,1060,551
Q4VC17,3,0,0,1,0,1,3,0,5,0,0,5,0
Q4VCS5,46,35,38,9,48,79,68,42,30,10,19,114,10
Q4VGL6,15,8,111,9,20,61,130,22,84,6,0,83,24
Q4VSN2,231,95,257,36,162,268,107,191,210,105,19,210,96
Q4W5Z4,4,9,12,6,26,35,6,11,14,2,0,7,4
Q4ZHR9,31,4,45,0,8,52,54,51,11,2,25,16,8
Q4ZIN3,327,113,407,25,226,622,1050,391,489,101,40,339,213
Q4ZJN1,0,0,8,0,0,0,0,0,1,1,0,1,0
Q501I9,82,36,123,1,71,115,189,75,117,28,37,153,51
Q501J6,1143,544,1292,73,1111,2029,1844,1114,966,772,86,1089,435
Q501L1,0,0,10,4,23,68,20,9,30,1,0,5,22
Q501Q9,134,83,183,20,118,227,497,153,419,101,22,486,104
Q501X2,62,33,146,18,133,249,112,99,177,47,53,153,146
Q502I9,340,235,491,47,375,667,1448,473,818,170,90,857,241
Q502J0,0,0,6,2,1,0,3,8,2,0,0,0,0
Q502K2,145,93,116,18,310,469,644,94,317,81,9,223,258
Q502K3,483,233,1396,81,1163,968,1731,1327,760,223,344,456,396
Q502L1,42,3,29,5,12,33,43,58,17,5,0,8,6
Q502L2,33,28,49,6,49,168,98,31,86,19,9,59,36
Q502W6,104,54,161,23,136,161,518,87,221,54,8,269,71
Q503C8,40,20,51,9,46,59,73,35,113,22,11,72,24
Q503I8,34,168,397,47,322,553,141,53,411,28,128,347,326
Q503I9,18,52,72,18,87,40,9,4,91,13,12,71,36
Q503L9,78,40,54,13,50,122,246,211,95,43,4,142,69
Q503Q1,24,0,24,0,57,34,40,0,38,0,0,0,46
Q503V0,237,121,430,27,258,737,328,352,409,128,109,214,316
Q503V3,62,26,168,17,70,163,289,167,165,29,28,93,49
Q503V9,206,125,288,48,281,413,558,167,651,144,62,545,195
Q504A5,31,29,61,2,40,123,12,30,76,28,5,19,62
Q504H8,215,120,431,38,230,519,475,118,338,80,61,156,192
Q504N2,56,21,46,1,26,54,33,3,38,1,1,17,20
Q504Y2,76,0,29,2,42,6,30,12,4,0,2,0,4
Q505D1,83,49,107,17,94,114,300,65,196,4,17,96,39
Q505F5,87,61,138,20,99,152,260,139,226,41,16,183,92
Q50H32,168,72,242,14,205,332,384,125,320,88,22,298,180
Q52995,24,3,35,3,14,50,131,26,110,14,39,195,20
Q52I78,15,3,15,6,13,32,25,16,29,5,0,12,7
Q52KG5,227,81,318,22,311,424,454,187,207,31,23,360,86
Q52KK3,42,16,44,7,37,63,72,14,45,22,22,30,15
Q52KN9,8,5,21,1,7,25,52,23,20,5,0,33,8
Q52KW8,21,4,13,4,8,16,18,10,3,0,0,13,8
Q53CF9,494,297,743,89,631,1550,1519,524,1897,456,278,1633,650
Q53CG4,158,73,258,26,232,560,1020,190,620,146,125,1033,213
Q53EP0,439,193,565,90,401,662,1347,388,649,144,127,775,325
Q53F19,52,53,88,18,73,78,166,72,134,34,38,147,85
Q53FA7,14,8,17,4,17,76,13,12,37,3,35,35,17
Q53G59,2,9,17,2,7,42,2,5,20,4,0,1,13
Q53GD3,13,7,131,7,16,87,95,65,53,17,0,67,23
Q53GQ0,0,0,4,0,1,6,2,0,0,3,0,0,1
Q53GS9,21,13,44,3,24,48,82,35,97,10,4,51,34
Q53H12,54,14,64,3,48,133,65,19,115,10,0,46,40
Q53H80,141,26,63,6,48,101,247,42,112,32,25,89,50
Q53HC5,35,16,45,0,18,31,17,29,31,16,0,1,0
Q53RD9,0,0,80,0,115,0,0,0,0,0,0,0,0
Q54271,16,1,10,2,4,5,10,0,8,1,0,15,0
Q54468,54,148,277,68,357,242,81,32,272,0,259,213,355
Q54527,22,15,8,1,16,40,2,2,16,10,2,2,16
Q54BU4,95,19,170,9,34,150,426,73,110,39,0,64,27
Q54DK4,11,29,38,3,38,15,33,23,96,8,0,58,1
Q54EW2,186,212,115,34,263,84,286,94,322,1,65,82,50
Q54F34,265,90,201,9,153,350,924,238,280,120,159,363,184
Q54FE6,8,3,47,0,67,64,33,0,80,18,10,48,30
Q54G05,0,0,15,16,0,13,17,15,3,11,0,13,1
Q54H46,144,43,173,23,72,347,192,176,159,45,0,112,129
Q54H55,79,118,286,57,84,613,208,219,404,68,235,304,147
Q54HX8,0,0,0,0,0,0,1,0,2,0,0,0,0
Q54IP4,4,3,2,0,6,1,2,0,4,16,0,0,3
Q54JL7,0,3,2,3,0,2,6,0,4,0,0,3,0
Q54JR2,3,0,0,0,0,1,1,0,2,1,0,0,0
Q54KA7,70,30,100,26,70,181,301,136,135,28,4,113,31
Q54KD0,14,2,34,1,5,31,45,20,14,2,11,10,9
Q54KF7,12,10,233,4,2,77,0,33,3,0,0,0,1
Q54KG1,20,21,32,2,31,38,55,13,59,9,19,26,14
Q54KX5,2,0,6,0,7,23,0,0,7,0,0,0,9
Q54L00,52,0,0,0,2,77,19,0,0,0,0,0,52
Q54LN4,0,0,0,0,0,0,0,0,4,0,0,0,0
Q54NA6,0,1,6,0,1,13,11,7,7,0,0,6,0
Q54P70,176,73,564,154,123,538,244,360,260,50,0,72,43
Q54P77,29,57,113,11,31,72,214,18,85,15,1,133,22
Q54PH5,19,7,30,4,40,29,122,35,41,13,13,39,17
Q54PR9,73,10,31,3,28,45,151,84,114,25,0,136,16
Q54QR3,157,114,273,47,215,232,481,187,379,81,84,306,70
Q54RA4,90,34,133,0,4,23,688,2,19,1,6,18,38
Q54RB7,815,378,1496,111,878,1612,1253,715,868,213,160,740,460
Q54S12,5,0,9,0,5,7,22,14,17,0,0,10,5
Q54SZ8,5,1,2,0,3,18,83,10,46,3,0,48,12
Q54T82,35,36,52,19,20,67,62,28,90,11,0,24,22
Q54TA1,7,4,24,0,13,33,5,4,27,0,0,19,15
Q54TD7,17,3,10,0,16,17,22,5,30,11,0,21,6
Q54TH6,0,0,0,1,4,0,0,0,2,3,0,33,0
Q54TM7,27,16,49,12,11,63,79,14,23,10,0,39,12
Q54TR1,767,271,559,55,796,1304,650,540,1788,450,269,520,518
Q54U44,0,0,0,0,0,4,3,0,0,0,0,0,0
Q54UT2,0,0,11,2,3,3,3,0,3,5,0,0,0
Q54VC0,0,0,2,1,9,0,0,0,3,0,0,1,0
Q54VH7,8,0,3,0,0,8,7,0,4,0,0,0,5
Q54VJ1,0,0,0,0,0,0,34,23,0,11,0,20,0
Q54WS5,15,2,73,11,3,21,14,34,17,2,0,0,1
Q54WX4,39,34,94,8,36,130,33,22,57,15,25,32,36
Q552M5,204,72,302,22,202,327,293,77,195,13,16,75,92
Q553B1,235,198,463,48,290,576,1055,280,684,115,83,669,273
Q556Y8,138,30,119,12,67,194,283,102,159,56,12,166,93
Q55CD9,9,8,29,3,10,23,22,16,28,4,0,9,6
Q55DA0,48,32,103,16,56,166,189,78,113,36,0,172,34
Q55DL2,1,2,5,0,1,2,2,10,7,1,0,4,1
Q55DV9,0,37,42,8,35,54,52,0,102,0,24,67,32
Q55E58,920,1054,2737,298,1903,3315,2616,767,2746,446,320,1649,1212
Q55FD8,0,1,0,2,1,0,2,0,0,0,0,0,0
Q55FU9,83,12,115,4,37,128,262,67,103,24,33,79,27
Q55G75,164,228,247,48,143,309,1526,124,766,71,8,629,155
Q55GQ5,0,1,1,1,9,30,37,13,15,0,0,25,1
Q55GU0,18,5,46,5,30,41,53,38,60,8,0,40,19
Q561R0,78,62,176,15,136,326,185,191,369,93,143,303,98
Q561R7,2,4,15,0,5,7,12,0,15,0,0,8,2
Q561X0,104,56,243,3,172,285,165,120,220,55,33,101,83
Q562C7,41,23,71,7,29,90,138,37,79,21,0,57,32
Q562D6,0,1,31,0,1,8,14,8,5,0,0,3,2
Q56585,8,7,24,6,9,41,58,6,18,14,0,13,21
Q566C7,43,30,36,4,22,29,1562,210,718,57,91,3417,46
Q566I3,0,0,0,0,0,8,14,1,2,0,0,5,0
Q566N0,48,7,12,0,12,56,8,21,8,0,8,8,8
Q566Q8,107,52,67,9,152,72,158,100,105,18,82,49,25
Q566U4,6,1,20,2,2,17,2,3,6,4,6,2,2
Q566X8,162,149,199,22,194,387,995,146,228,66,123,307,132
Q566Y9,2,1,7,0,2,14,10,2,7,0,0,1,6
Q567G6,34,13,75,7,38,18,70,41,44,12,32,42,13
Q567I9,154,72,153,19,167,213,643,232,478,136,11,473,98
Q567Y6,36,22,18,6,0,43,9,8,16,0,0,31,32
Q568B7,21,22,69,1,38,86,89,3,77,4,8,40,29
Q568D2,6,5,0,0,6,1,16,23,23,0,0,0,1
Q568Q0,35,4,19,4,15,33,17,22,10,5,0,6,1
Q568Z6,80,32,53,10,29,67,356,68,155,35,0,126,28
Q569B9,86,77,244,20,145,214,315,88,365,54,94,336,159
Q569C3,6,1,9,0,1,9,4,3,13,4,0,6,2
Q569D5,81,92,59,16,54,73,200,107,390,54,7,321,39
Q569U0,3,0,0,0,0,4,0,0,0,3,0,0,0
Q56A06,184,128,293,34,208,371,740,209,444,129,34,326,183
Q56A55,421,191,514,44,343,723,863,374,799,176,79,635,301
Q56K04,100,72,168,15,132,313,118,84,165,39,43,131,106
Q56P03,26,12,56,15,25,62,65,26,41,24,0,41,15
Q56R14,0,0,5,0,2,3,7,0,0,0,0,0,0
Q56Y42,152,85,182,20,114,224,313,152,241,53,22,175,75
Q570Y9,73,69,171,11,139,152,147,30,153,28,53,143,109
Q571E4,71,22,41,2,29,61,113,33,102,10,0,28,7
Q571F8,5,9,38,0,23,35,65,0,26,6,0,50,11
Q571I4,164,74,257,31,254,354,251,61,144,17,45,171,137
Q575S8,14,9,44,8,34,45,53,11,23,3,7,38,22
Q575T0,0,0,0,0,0,1,1,0,0,0,0,7,0
Q57664,267,31,102,7,69,163,678,221,98,22,8,135,48
Q57YG0,13,5,35,14,1,44,27,10,22,3,0,11,4
Q58588,156,83,145,22,95,157,350,144,301,53,37,167,50
Q58741,28,18,68,8,100,93,65,88,39,8,0,18,28
Q58882,43,19,34,4,30,75,13,15,22,3,9,23,32
Q588U8,80,53,149,40,65,121,103,39,87,16,0,66,24
Q588Y6,0,1,3,0,2,3,1,0,0,0,0,0,0
Q58A42,304,202,640,23,126,292,585,330,339,60,102,521,120
Q58A45,52,7,51,1,6,44,29,0,0,6,0,5,0
Q58CP2,171,90,214,13,195,272,805,138,494,66,57,496,158
Q58CR4,47,46,91,21,88,123,133,51,198,27,47,143,84
Q58CU2,515,345,797,143,558,1005,1176,418,784,211,252,527,374
Q58CU3,9,10,35,12,14,26,61,12,90,0,0,111,15
Q58CX9,13,4,32,1,9,24,134,25,29,4,0,28,10
Q58CZ2,20,9,53,7,21,41,79,47,28,2,2,8,7
Q58D06,21,67,39,13,51,104,50,47,323,39,12,68,63
Q58D55,205,63,231,5,170,345,239,134,375,78,39,65,96
Q58DA0,294,123,319,29,239,534,1416,257,585,145,144,853,325
Q58DA6,119,28,108,7,98,157,363,83,216,40,9,101,79
Q58DC0,31,15,57,4,28,68,28,26,29,7,0,9,23
Q58DC2,84,111,135,25,116,208,199,21,290,29,90,140,94
Q58DF3,115,121,266,26,231,301,567,180,445,140,120,434,136
Q58DG1,132,202,341,42,176,302,457,121,423,62,86,242,140
Q58DM4,9,17,15,3,20,21,43,13,41,14,0,42,17
Q58DS6,121,63,241,7,172,255,188,99,311,82,85,338,186
Q58DW5,20704,7728,11670,2411,13829,22351,23298,29100,21229,16421,6885,24666,10973
Q58EK3,36,6,14,5,12,20,35,13,13,7,0,6,7
Q58EK4,0,0,46,0,0,61,0,0,6,0,0,0,0
Q58EK5,88,43,154,17,98,192,178,63,226,29,24,77,78
Q58EX2,325,229,841,79,412,497,1519,497,1218,246,132,1968,264
Q58EX7,415,234,497,68,321,586,538,276,418,47,51,183,204
Q58L90,3,0,8,1,0,0,1,4,0,0,0,0,0
Q58L91,0,6,19,0,6,8,8,8,10,3,0,20,3
Q59022,45,53,96,3,59,75,73,24,126,12,0,56,53
Q593B6,17,29,36,1,34,45,51,115,50,3,26,85,16
Q59536,5,1,9,0,5,4,22,9,6,0,0,6,2
Q59A28,124,70,160,23,124,214,247,87,234,78,54,236,136
Q59DX8,52,4,62,5,34,97,106,17,94,19,6,56,38
Q59E83,119,84,195,19,114,261,176,126,248,50,22,168,150
Q59HJ6,7,0,8,6,13,5,28,4,7,1,0,3,9
Q59I44,164,59,203,14,153,328,30,190,287,67,48,60,118
Q59J78,49,13,24,5,18,65,64,49,75,8,0,17,26
Q59RQ0,0,1,34,2,0,4,3,0,4,0,0,1,0
Q5AF03,1277,661,776,262,1541,2104,2778,989,4852,1589,2057,3087,1211
Q5AI15,25,12,28,10,12,57,63,29,49,10,0,43,13
Q5AT15,280,96,393,18,183,474,365,213,204,67,40,95,189
Q5AVF0,14,17,294,1,33,53,1,22,68,1,0,38,6
Q5AXT5,72,57,340,89,72,196,488,136,202,70,22,194,58
Q5BB35,9,4,14,1,19,35,25,12,22,5,0,17,7
Q5BIM1,195,67,257,15,125,242,416,163,344,72,23,455,73
Q5BIM8,32,5,17,2,25,45,104,31,22,10,10,33,20
Q5BIN4,75,11,64,9,55,96,123,67,89,15,1,43,33
Q5BIZ0,35,14,44,8,40,83,47,14,21,0,24,87,35
Q5BJ41,12,2,9,0,7,4,17,11,11,2,0,0,0
Q5BJ78,80,31,106,10,74,137,242,89,203,35,0,131,41
Q5BJA5,169,71,254,30,94,386,1105,94,454,63,103,359,131
Q5BJD2,3,0,0,1,1,4,0,0,2,2,0,0,0
Q5BJE1,60,32,144,15,125,130,424,85,264,48,57,319,64
Q5BJF6,39,30,68,10,36,153,45,44,152,29,2,68,35
Q5BJJ7,105,45,104,18,125,166,183,52,190,53,30,99,75
Q5BJS0,85,64,237,24,189,204,229,81,246,68,43,236,118
Q5BJW3,12,9,20,0,13,49,30,1,17,4,28,16,23
Q5BK63,180,175,284,27,241,432,533,267,520,172,80,733,232
Q5BKC9,239,181,764,67,338,617,1081,343,666,143,148,471,258
Q5BKF8,200,229,467,88,314,582,1837,183,786,115,155,1359,513
Q5BKL1,0,2,18,0,0,18,9,7,34,0,16,13,5
Q5BKR2,63,162,268,50,199,378,170,82,269,38,101,214,203
Q5BL07,53,42,117,21,78,156,147,46,197,14,84,75,80
Q5BL44,167,48,172,9,184,248,123,97,135,50,33,37,46
Q5BL73,169,105,434,16,240,527,480,164,287,72,39,239,164
Q5BLE8,40,55,256,10,99,251,169,115,215,52,24,101,75
Q5C9L6,46,26,58,7,58,125,57,53,94,23,29,38,42
Q5C9Z4,73,90,342,31,199,454,230,55,298,85,50,251,227
Q5D013,60,62,363,7,115,500,398,98,294,80,55,203,207
Q5D0X0,0,0,0,1,0,3,12,4,10,2,0,16,1
Q5DJU3,22,19,113,2,109,161,37,71,110,12,9,26,87
Q5DTN8,0,7,9,5,2,11,21,11,3,0,0,9,0
Q5DTV4,76,176,280,25,77,294,441,178,822,134,85,716,102
Q5DTY9,99,47,94,20,75,122,115,41,70,23,25,39,42
Q5DU56,35,11,91,2,7,81,35,38,32,9,0,7,10
Q5DUB2,6,1,0,0,0,5,19,4,3,1,0,3,1
Q5DUB3,38,13,62,1,20,60,48,11,21,7,0,9,28
Q5E951,34,28,202,3,59,178,81,67,97,35,48,85,45
Q5E964,156,54,182,26,116,235,644,187,365,55,85,298,184
Q5E980,6,2,7,0,16,5,7,2,7,0,0,0,0
Q5E985,94,115,405,43,206,360,231,102,389,60,77,178,138
Q5E9A4,0,10,34,12,69,92,21,0,66,30,45,94,53
Q5E9C0,64,24,80,5,38,95,263,34,82,19,15,75,24
Q5E9D6,3,18,57,3,16,60,55,33,39,1,38,26,19
Q5E9E2,54,44,52,51,220,1002,0,7,1,0,12,0,51
Q5E9E4,2786,478,983,125,881,1450,1259,2489,992,1281,207,795,510
Q5E9G1,58,46,102,6,21,106,267,38,160,53,11,99,52
Q5E9H5,33,10,34,3,21,67,60,3,60,18,15,27,33
Q5E9J7,6,4,16,2,9,26,13,24,12,0,68,18,15
Q5E9J9,93,219,239,34,220,315,391,120,1293,63,42,462,174
Q5E9M5,86,135,277,30,316,753,484,217,453,92,12,315,242
Q5E9N5,15,16,108,2,44,75,110,24,76,14,0,17,36
Q5E9N9,55,61,93,10,58,152,80,42,162,20,0,90,82
Q5E9P6,49,26,96,1,54,156,127,57,128,16,21,35,58
Q5E9Q3,4,3,12,0,16,27,38,9,21,4,0,15,16
Q5E9R3,74,10,61,6,14,51,159,76,42,14,0,30,11
Q5E9S4,25,3,64,6,20,51,304,84,60,15,0,100,6
Q5E9T8,22,35,99,5,51,92,146,84,233,38,70,101,92
Q5E9U9,70,42,142,10,59,137,59,69,153,47,23,58,53
Q5E9X2,5,5,7,1,3,22,10,1,7,0,0,3,5
Q5E9X6,2,3,5,4,2,8,6,6,1,0,0,0,0
Q5E9X7,5,0,1,0,1,1,3,7,6,1,0,0,0
Q5E9Y6,5,1,7,0,0,12,0,17,5,0,0,3,2
Q5EA03,36,18,63,4,33,84,66,61,68,10,0,57,28
Q5EA06,0,0,0,0,0,0,0,0,0,0,0,3,0
Q5EA11,64,48,414,53,71,355,866,270,314,52,29,240,46
Q5EA18,27,22,58,2,66,63,26,2,90,12,0,46,39
Q5EA25,0,0,6,1,8,6,0,0,2,2,0,4,2
Q5EA28,58,37,137,14,112,231,245,56,144,15,87,134,114
Q5EA33,20,24,39,2,30,44,80,27,66,15,47,68,38
Q5EA37,11,9,26,4,9,24,35,30,30,3,0,35,2
Q5EA70,0,2,19,0,7,22,1,0,1,2,0,0,6
Q5EA79,28,10,21,3,14,27,17,30,66,3,0,37,9
Q5EA92,53,37,90,3,67,115,130,52,145,39,41,99,33
Q5EA98,15,9,20,0,7,29,53,3,27,2,0,13,4
Q5EA99,0,0,0,0,7,7,9,7,19,0,0,13,5
Q5EAB6,118,72,118,10,157,255,313,86,309,55,38,267,133
Q5EAC2,0,1,8,1,2,2,0,0,4,0,8,0,0
Q5EAD0,0,7,66,1,13,52,32,2,16,0,0,17,12
Q5EAD5,89,90,134,19,150,153,158,98,269,49,30,237,86
Q5EAJ7,923,635,1365,188,1062,2029,2945,1404,3282,712,556,2939,1357
Q5EAR5,11,4,16,1,5,11,1,1,13,1,0,3,7
Q5EAU9,22,14,38,2,19,24,103,73,66,17,0,100,12
Q5EAW4,25,19,26,2,35,63,20,34,69,8,16,21,49
Q5EB14,14,14,36,0,12,49,51,20,44,0,0,12,6
Q5EB39,19,13,115,0,15,26,58,17,24,14,0,12,5
Q5EB68,51,15,64,9,32,73,124,19,105,21,0,51,49
Q5EB73,56,70,383,11,57,150,47,41,107,4,23,45,106
Q5EB97,112,90,274,17,156,375,282,126,264,75,35,196,150
Q5EBD9,0,1,21,1,16,10,14,0,10,1,0,5,5
Q5EE04,97,141,280,62,261,302,364,174,399,105,98,400,255
Q5EE05,87,32,47,8,33,162,1519,106,181,14,46,329,72
Q5EIC4,227,97,321,25,164,435,989,450,604,173,146,1174,240
Q5F226,0,0,0,0,0,0,0,2,0,0,0,0,0
Q5F2F2,17,17,49,1,23,61,49,26,34,10,10,37,21
Q5F2L1,74,34,90,11,106,126,257,71,102,34,9,70,51
Q5F2N3,27,8,38,4,14,30,70,16,32,9,0,9,3
Q5F336,16,0,7,0,4,6,3,8,6,0,0,0,2
Q5F349,15,1,6,0,4,19,7,0,1,2,0,5,12
Q5F361,49,20,60,5,33,93,99,46,138,40,0,62,29
Q5F364,1052,511,1552,141,895,2352,1377,712,1434,402,187,816,900
Q5F371,74,40,177,13,78,203,494,148,185,38,93,167,35
Q5F383,154,51,181,11,142,156,496,199,231,104,12,297,73
Q5F389,6,3,22,1,1,14,6,0,5,0,0,1,0
Q5F3G6,28,19,50,15,21,44,73,20,36,14,17,7,7
Q5F3K0,114,133,190,29,214,242,564,105,343,44,41,251,208
Q5F3K4,211,130,341,28,346,458,441,186,363,62,73,356,181
Q5F3L7,91,21,133,14,81,180,147,81,80,38,6,68,61
Q5F3M0,4,8,16,0,18,32,28,0,15,2,0,13,6
Q5F3R2,7,2,11,3,4,10,17,5,4,5,10,5,5
Q5F3U9,37,18,49,7,16,54,34,43,66,5,0,38,11
Q5F3X8,14,0,8,0,0,8,7,6,6,4,0,7,0
Q5F3Z3,560,346,817,77,779,1423,1243,747,1321,495,266,850,599
Q5F408,160,61,128,21,100,213,537,121,379,47,51,380,106
Q5F415,247,122,320,24,233,417,985,212,558,92,57,722,182
Q5F418,15,6,53,6,19,47,93,37,33,8,0,32,7
Q5F425,358,83,237,20,155,271,545,160,365,85,35,247,146
Q5F450,78,35,136,9,107,173,165,43,201,12,0,145,85
Q5F464,560,239,654,74,984,1078,4164,413,760,241,173,1077,492
Q5F468,62,30,43,7,39,71,246,67,84,13,0,97,59
Q5F477,16,3,47,0,34,33,20,30,28,11,17,29,12
